id,bloque,promesa,estado,severidad,verificacion,esfuerzo,lote,rama,dueno,autoridad_aceptacion,firmado_por,fecha_firma,evidencia_prod,archivo
SWEEP-MI-APRENDIZAJE-01,B4 A02,"""Mi Aprendizaje — rutas y cursos asignados"": la próxima semana las directoras entran y ven sus rutas y cursos.",CONDITIONAL,P0,1-agent,XL,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,The only thing that creates the Santa Marta learning content is the UNTRACKED script tree scripts/demo/seed-sm/ (`git ls-files scripts/demo` returns nothing; git status shows `?? s
SWEEP-MI-APRENDIZAJE-02,B4 A02,"""con el avance visible por módulo"" dentro de un curso.",READY,NONE,1-agent,,,,,,,,n/a,pages/student/course/[courseId].tsx:604-620 renders each module header with a live per-module counter: `Módulo {module.order_number}: {module.title}` and `{module.lessons.filter(l 
SWEEP-MI-APRENDIZAJE-03,B4 A02,"""la formación de cada equipo"" — un docente inscrito abre su curso y ve el contenido.",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"The only student-facing SELECT policy on lessons resolves the course through modules: baseline.sql:20734-20737 `CREATE POLICY ""lessons_student_view"" ON public.lessons FOR SELECT TO"
SWEEP-MI-APRENDIZAJE-04,B4 A02,"""rutas ... con el avance visible"" — la ruta muestra cuánto lleva avanzado cada persona.",BROKEN,P1,1-agent,S,BACKLOG-P1,,,,,,PENDIENTE,"Path progress is whole-courses-completed / total-courses, with no partial credit. lib/services/learningPathsService.ts:481-494: `const completedCourses = (enrollments||[]).filter(e"
SWEEP-MI-APRENDIZAJE-05,B4 A02,"Dashboard de Líder de Red: ""Tasa Promedio 13%"", ""Tiempo Total 50h 45m"" y el panel de Rutas de Aprendizaje.",BROKEN,P0,1-lens,L,B6d,fix/lp-views,Brent + agente BD,Madre Superiora,,,PENDIENTE,Three relations the report surfaces read exist in NO migration. Grepping user_learning_path_summary / learning_path_performance_summary / learning_path_daily_summary across supabas
SWEEP-MI-APRENDIZAJE-06,B4 A02,"La Madre Superiora, como Líder de Red, ve el panel de Rutas de Aprendizaje de la red.",REFUTED,NONE,1-lens,,,,,,,,n/a,"pages/reports.tsx:377 puts `{ id: 'learning-paths', label: 'Rutas de Aprendizaje', icon: '🗺️' }` in the tab bar with no role filter — the tab array at :376-382 renders for every ro"
SWEEP-MI-APRENDIZAJE-07,B4 A02,"""Tiempo Total 50h 45m"" y la columna por usuario ""Tiempo"" del reporte.",BROKEN,P1,1-agent,L,BACKLOG-P1,,,,,,PENDIENTE,"The number shown on stage comes from a column no runtime code writes. Grepping total_time_spent_seconds across pages/, lib/, components/ and supabase/migrations/ returns only schem"
SWEEP-MI-APRENDIZAJE-08,B4 A02,Los resúmenes de progreso de rutas se mantienen al día (los cron jobs que agregan el avance).,BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"vercel.json registers exactly four crons — /api/cron/zoom-ticker, /api/cron/zoom-reconcile, /api/cron/recovery-outbox, /api/cron/auth-retention — and on main only the first two (`g"
SWEEP-MI-APRENDIZAJE-09,B4 A02,Las rutas y asignaciones de cada colegio están protegidas (RLS por colegio; dato sensible bajo Ley 21.719).,BROKEN,P0,2-lens,L,B2b,fix/rls-anon,Brent + agente BD,Privacidad,,,PENDIENTE,"public.learning_paths and public.learning_path_courses have RLS switched OFF entirely — there is no `ALTER TABLE ... ENABLE ROW LEVEL SECURITY` for either in baseline.sql, no CREAT"
SWEEP-MI-APRENDIZAJE-10,B4 A02,"""45 Total Cursos"" en el dashboard de red.",BROKEN,P2,1-agent,S,BACKLOG-P2,,,,,,PENDIENTE,"pages/reports.tsx:472-475 labels `overviewData.summary.total_courses` as ""Total Cursos"". That value is built in pages/api/reports/overview.ts by summing each user's enrollment coun"
SWEEP-MI-APRENDIZAJE-11,B4 A02,"Nav ""Mis Tareas — Tareas de todas mis comunidades"".",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,components/layout/Sidebar.tsx:144-149 defines the item exactly as promised. But pages/mi-aprendizaje/tareas.tsx:66 loads only `groupAssignmentsV2Service.getGroupAssignmentsForUser(
SWEEP-MI-APRENDIZAJE-12,B4 A02,El porcentaje de avance que ve la docente y el que ve la directora son el mismo número.,BROKEN,P2,1-agent,M,BACKLOG-P2,,,,,,PENDIENTE,"Three independent implementations answer ""is this lesson complete?"" and they disagree for a lesson with zero blocks. (1) pages/api/my-courses.ts:96-100: `if (totalBlocks === 0) { /"
SWEEP-MI-APRENDIZAJE-13,B4 A02,"""Mis Cursos"" carga rápido en el hardware antiguo de los colegios.",BROKEN,P2,1-agent,M,BACKLOG-P2,,,,,,PENDIENTE,pages/api/my-courses.ts recomputes every course's progress from scratch on each page load with a sequential N+1 nested inside a fan-out. :88 `for (const lesson of lessons || [])` a
A03-1,B4 A03,"La comunidad de crecimiento con sus catorce miembros, su nombre y su feed.",CONDITIONAL,P0,1-agent,M,B7b,fix/feed-srv,Brent,Directora,,,PENDIENTE,"The surface exists and is coherent: /Users/brentcurtis/dev/fne-lms/pages/community/workspace.tsx:546-722 renders the community banner (h1 at :869), the member panel (:562-655) and "
