claim_id,claim_kind,classification_basis,bloque,claim_text,estado,severidad,verificacion,evidencia_prod,autoridad_aceptacion,firmado_por,fecha_firma
SWEEP-MI-APRENDIZAJE-01,EXPLICIT_PROMISE,"Bloque 4, lámina 2 (Pilar 1, «Mi Aprendizaje — rutas y cursos asignados»); guión A·02 @0:40. La mitad de calendario y audiencia —«la próxima semana las directoras entran»— es del guión A·01 @0:00, verbatim: «ustedes van a entrar la próxima semana».",B4 A02,"""Mi Aprendizaje — rutas y cursos asignados"": la próxima semana las directoras entran y ven sus rutas y cursos.",CONDITIONAL,P0,1-agent,PENDIENTE,Onboarding,,
SWEEP-MI-APRENDIZAJE-02,EXPLICIT_PROMISE,"Bloque 4, lámina 2 («El puente — la rúbrica y el proceso viven en un mismo espacio», Pilar 1 «Mi Aprendizaje — rutas y cursos asignados, con avance visible por módulo»); guión A·02 @0:40; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo».",B4 A02,"""con el avance visible por módulo"" dentro de un curso.",READY,NONE,1-agent,n/a,,,
SWEEP-MI-APRENDIZAJE-03,IMPLIED_COMMITMENT,"Localizador: lámina 2 (Pilar 1) y guión A·02 @0:40, «la formación de cada equipo». Inferencia: la frase citada es verbatim, pero la prueba operativa —que una docente inscrita abra su curso y vea el contenido— nunca se enunció ni se mostró.",B4 A02,"""la formación de cada equipo"" — un docente inscrito abre su curso y ve el contenido.",BROKEN,P1,1-agent,PENDIENTE,,,
SWEEP-MI-APRENDIZAJE-04,IMPLIED_COMMITMENT,"Localizador: lámina 2 (Pilar 1) y guión A·02 @0:40, «con el avance visible por módulo». Inferencia: la frase citada es verbatim, pero que la ruta muestre cuánto lleva avanzado cada persona nunca se enunció ni se mostró.",B4 A02,"""rutas ... con el avance visible"" — la ruta muestra cuánto lleva avanzado cada persona.",BROKEN,P1,1-agent,PENDIENTE,,,
SWEEP-MI-APRENDIZAJE-05,EXPLICIT_PROMISE,"Bloque 4, lámina 15 («La congregación mira sus ocho colegios desde una cuenta»); guión A·15 @24:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo». (La fila legacy la archivaba bajo «B4 A02»; el localizador sigue a la evidencia.)",B4 A02,"Dashboard de Líder de Red: ""Tasa Promedio 13%"", ""Tiempo Total 50h 45m"" y el panel de Rutas de Aprendizaje.",BROKEN,P0,1-lens,PENDIENTE,Madre Superiora,,
SWEEP-MI-APRENDIZAJE-06,EXPLICIT_PROMISE,"Bloque 4, lámina 15 («La congregación mira sus ocho colegios desde una cuenta»); guión A·15 @24:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo». (La fila legacy la archivaba bajo «B4 A02»; el localizador sigue a la evidencia.)",B4 A02,"La Madre Superiora, como Líder de Red, ve el panel de Rutas de Aprendizaje de la red.",REFUTED,NONE,1-lens,n/a,,,
SWEEP-MI-APRENDIZAJE-07,EXPLICIT_PROMISE,"Bloque 4, lámina 15 («La congregación mira sus ocho colegios desde una cuenta»); guión A·15 @24:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo». (La fila legacy la archivaba bajo «B4 A02»; el localizador sigue a la evidencia.)",B4 A02,"""Tiempo Total 50h 45m"" y la columna por usuario ""Tiempo"" del reporte.",BROKEN,P1,1-agent,PENDIENTE,,,
SWEEP-MI-APRENDIZAJE-08,OPERATIONAL_PRECONDITION,"Precondición de SWEEP-MI-APRENDIZAJE-02 y SWEEP-MI-APRENDIZAJE-04 («con el avance visible por módulo», lámina 2 / guión A·02 @0:40). Base técnica: los resúmenes agregados que alimentan el avance dependen de trabajos programados; vercel.json en main agenda solamente zoom-ticker y zoom-reconcile.",B4 A02,Los resúmenes de progreso de rutas se mantienen al día (los cron jobs que agregan el avance).,BROKEN,P1,1-agent,PENDIENTE,,,
SWEEP-MI-APRENDIZAJE-09,OPERATIONAL_PRECONDITION,"Precondición de SWEEP-MI-APRENDIZAJE-01 (lámina 2, Pilar 1) y de SWEEP-NONFUNCTIONAL-PRIVACY-RBAC. Base técnica: public.learning_paths y public.learning_path_courses no tienen ENABLE ROW LEVEL SECURITY en baseline.sql; Ley 21.719 y CLAUDE.md §Privacidad exigen aislamiento por colegio. No se enunció en ninguna lámina.",B4 A02,Las rutas y asignaciones de cada colegio están protegidas (RLS por colegio; dato sensible bajo Ley 21.719).,BROKEN,P0,2-lens,PENDIENTE,Privacidad,,
SWEEP-MI-APRENDIZAJE-10,EXPLICIT_PROMISE,"Bloque 4, lámina 15 («La congregación mira sus ocho colegios desde una cuenta»); guión A·15 @24:20; guión de sala p. 1, «REGLA DE HONESTIDAD: Todas las capturas son pantallas reales del entorno demo». (La fila legacy la archivaba bajo «B4 A02»; el localizador sigue a la evidencia.)",B4 A02,"""45 Total Cursos"" en el dashboard de red.",BROKEN,P2,1-agent,PENDIENTE,,,
