work_id,claim_id
W-B10a-01,SWEEP-PRIOR-AUDIT-09
W-B10b-01,SWEEP-PRIOR-AUDIT-13
W-B10c-01,SWEEP-PRIOR-AUDIT-16
W-B1a-01,SWEEP-NONFUNCTIONAL-OBSERVABILITY
W-B1b-01,A14-1
W-B1b-01,SWEEP-PRIOR-AUDIT-01
W-B1c-01,A09-11
W-B1c-01,SWEEP-PRIOR-AUDIT-02
W-B1c-02,A10-8
W-B1c-02,SWEEP-PRIOR-AUDIT-02
W-B2a-01,A15-1
W-B2a-01,SWEEP-PRIOR-AUDIT-04
W-B2b-01,SWEEP-PRIOR-AUDIT-09
W-B2c-01,SWEEP-MI-APRENDIZAJE-09
W-B2c-01,SWEEP-PRIOR-AUDIT-09
W-B3a-01,A04-1
W-B3a-01,A04-2
W-B3a-02,A04-1
W-B3a-02,SWEEP-PRIOR-AUDIT-14
W-B3a-03,A04-3
W-B3b-01,A04-5
W-B3b-01,SWEEP-NONFUNCTIONAL-EMAIL-MEETING-SUMMARY
W-B3b-01,SWEEP-PRIOR-AUDIT-06
W-B3b-02,SWEEP-NONFUNCTIONAL-EMAIL-FROM-CONTRACT
W-B3c-01,A04-3
W-B4a-01,A05-1
W-B4b-01,A05-3
W-B4b-01,A05-4
W-B4c-01,A05-2
W-B4c-01,A05-6
W-B4d-01,A13-7
W-B4d-01,A14-6
W-B5-01,A09-6
W-B5-01,A12-4
W-B6a-01,A08-1
W-B6b-01,A11-1
W-B6c-01,A15-3
W-B6c-01,SWEEP-PRIOR-AUDIT-12
W-B6c-02,A15-3
W-B6c-03,SWEEP-PRIOR-AUDIT-05
W-B6d-01,SWEEP-MI-APRENDIZAJE-05
W-B6d-01,SWEEP-ONBOARDING-DATA-06
W-B7a-01,A03-2
W-B7b-01,A03-1
W-B7b-01,A03-3
W-B8a-01,B03-5
W-B8b-01,B03-1
W-B8b-01,SWEEP-PRIOR-AUDIT-10
W-B8c-01,SWEEP-PRIOR-AUDIT-07
W-B9a-01,A06-2
W-BL-A03-5,A03-5
W-BL-A03-6,A03-6
W-BL-A04-4,A04-4
W-BL-A04-6,A04-6
W-BL-A04-7,A04-7
W-BL-A06-1,A06-1
W-BL-A06-3,A06-3
W-BL-A07-3,A07-3
W-BL-A08-2,A08-2
W-BL-A08-3,A08-3
W-BL-A09-10,A09-10
W-BL-A09-7,A09-7
W-BL-A09-8,A09-8
W-BL-A09-9,A09-9
W-BL-A10-2,A10-2
W-BL-A10-3,A10-3
W-BL-A10-5,A10-5
W-BL-A10-7,A10-7
W-BL-A11-2,A11-2
W-BL-A11-3,A11-3
W-BL-A11-7,A11-7
W-BL-A12-2,A12-2
W-BL-A12-3,A12-3
W-BL-A13-2,A13-2
W-BL-A14-3,A14-3
W-BL-A14-4,A14-4
W-BL-A14-5,A14-5
W-BL-A14-7,A14-7
W-BL-A15-4,A15-4
W-BL-B02-2,B02-2
W-BL-B03-4,B03-4
W-BL-B03-6,B03-6
W-BL-B04-1,B04-1
W-BL-B04-2,B04-2
W-BL-B05-2,B05-2
W-BL-B05-3,B05-3
W-BL-B05-4,B05-4
W-BL-B05-5,B05-5
W-BL-B06-2,B06-2
W-BL-B06-3,B06-3
W-BL-QA-2,QA-2
W-BL-SWEEP-MI-APRENDIZAJE-03,SWEEP-MI-APRENDIZAJE-03
W-BL-SWEEP-MI-APRENDIZAJE-04,SWEEP-MI-APRENDIZAJE-04
W-BL-SWEEP-MI-APRENDIZAJE-07,SWEEP-MI-APRENDIZAJE-07
W-BL-SWEEP-MI-APRENDIZAJE-08,SWEEP-MI-APRENDIZAJE-08
